Year,state,incidentType,totalObligated
2016,Alabama,Severe Storm(s),37435207.15
2016,Alaska,Severe Storm(s),11464133.02
2016,Arkansas,Severe Storm(s),14482213.500000002
2016,Delaware,Snow,1602711.5
2016,District of Columbia,Snow,16996776.09
2016,Florida,Hurricane,442230235.3899999
2016,Georgia,Hurricane,95628128.28
2016,Georgia,Severe Storm(s),19610444.919999994
2016,Hawaii,Mud/Landslide,3927063.5100000002
2016,Idaho,Severe Storm(s),13228232.11
2016,Iowa,Flood,22073523.760000013
2016,Kansas,Severe Storm(s),6745588.340000001
2016,Kentucky,Severe Storm(s),4791966.210000001
2016,Louisiana,Flood,784583037.2299999
2016,Maryland,Flood,7462543.93
2016,Maryland,Snow,69592586.94
2016,Minnesota,Flood,7013278.199999999
2016,Mississippi,Flood,9091125.979999997
2016,Mississippi,Severe Storm(s),5743909.869999999
2016,Missouri,Flood,33959526.910000004
2016,Montana,Severe Storm(s),1690433.9
2016,Montana,Tornado,3236435.63
2016,New Jersey,Severe Storm(s),81516064.49999999
2016,North Carolina,Hurricane,292430509.15999997
2016,Oklahoma,Flood,4226556.24
2016,Oklahoma,Severe Storm(s),49769983.94000001
2016,Oregon,Severe Storm(s),29166256.59
2016,Pennsylvania,Flood,25469298.349999998
2016,Pennsylvania,Snow,44619194.67999999
2016,South Carolina,Hurricane,243842687.10000005
2016,Tennessee,Fire,3961245.33
2016,Texas,Flood,132199725.34
2016,Texas,Severe Storm(s),24259574.12999999
2016,Virginia,Hurricane,16482441.419999998
2016,Virginia,Snow,46994294.43
2016,Washington,Flood,11215447.739999998
2016,Washington,Severe Storm(s),24996227.140000004
2016,West Virginia,Flood,368415816.73
2016,Wisconsin,Flood,8818061.589999998
2016,Wisconsin,Severe Storm(s),11009376.930000002
2017,Alabama,Hurricane,6548329.539999999
2017,Alaska,Severe Storm(s),8647345.35
2017,Arkansas,Severe Storm(s),28044295.100000016
2017,California,Fire,385178988.57
2017,California,Flood,479412064.81000006
2017,California,Severe Storm(s),128187780.76999997
2017,Florida,Hurricane,1901260310.659999
2017,Georgia,Hurricane,121003373.31000002
2017,Georgia,Severe Storm(s),15509754.82
2017,Georgia,Tornado,22970819.68
2017,Idaho,Flood,20404570.949999996
2017,Iowa,Severe Storm(s),6066079.859999999
2017,Kansas,Severe Ice Storm,12516658.280000001
2017,Kansas,Severe Storm(s),5667113.369999999
2017,Kansas,Snow,24324234.700000003
2017,Louisiana,Hurricane,13130003.26
2017,Mississippi,Hurricane,10013843.030000001
2017,Mississippi,Severe Storm(s),16015039.070000002
2017,Mississippi,Tornado,10458936.049999999
2017,Missouri,Flood,63977443.71000003
2017,Nebraska,Severe Storm(s),18375933.09
2017,Nevada,Severe Storm(s),24381672.21999999
2017,New Hampshire,Severe Storm(s),7548316.059999999
2017,New Mexico,Flood,14729422.18
2017,New York,Flood,24715849.71
2017,New York,Snow,27614321.96000001
2017,North Dakota,Flood,5107753.29
2017,Oklahoma,Severe Storm(s),206438952.94
2017,Oklahoma,Tornado,4591669.760000001
2017,Oregon,Severe Storm(s),16326876.34
2017,Puerto Rico,Hurricane,6612493321.039999
2017,South Carolina,Hurricane,33232228.75
2017,South Dakota,Severe Storm(s),9834694.120000001
2017,Tennessee,Severe Storm(s),33087157.619999997
2017,Texas,Hurricane,2094768188.5800004
2017,Utah,Flood,3383180.16
2017,Vermont,Severe Storm(s),11260237.250000002
2017,Virgin Islands of the U.S.,Hurricane,2227510912.5599995
2017,Washington,Flood,29301996.349999998
2017,West Virginia,Severe Storm(s),15160079.339999996
2017,Wisconsin,Severe Storm(s),8969319.44
2017,Wyoming,Flood,5825762.59
2017,Wyoming,Severe Storm(s),2465393.8899999997
2018,Alabama,Hurricane,15628369.649999999
2018,Alabama,Severe Storm(s),38984522.87
2018,Alaska,Coastal Storm,4185194.27
2018,American Samoa,Hurricane,7258530.4
2018,Arizona,Flood,515561.24
2018,Arizona,Severe Storm(s),974784.0899999999
2018,California,Fire,1081919594.71
2018,Connecticut,Severe Storm(s),1007827.3400000001
2018,Connecticut,Tornado,16727174.5
2018,Florida,Hurricane,731640275.86
2018,Georgia,Hurricane,105242981.60999998
2018,Guam,Typhoon,8469232.24
2018,Hawaii,Flood,10085191.540000001
2018,Hawaii,Hurricane,7530883.32
2018,Hawaii,Volcano,14596390.69
2018,Indiana,Flood,14753557.37
2018,Iowa,Severe Storm(s),19005499.480000008
2018,Kansas,Severe Storm(s),2596776.439999999
2018,Kentucky,Flood,57162811.02
2018,Maine,Coastal Storm,4076792.8200000003
2018,Maine,Severe Storm(s),7971674.479999999
2018,Maryland,Flood,13437805.019999998
2018,Maryland,Severe Storm(s),5556545.03
2018,Massachusetts,Severe Storm(s),23672590.830000006
2018,Massachusetts,Snow,34678098.940000005
2018,Michigan,Flood,21768182.240000002
2018,Minnesota,Flood,21622657.679999996
2018,Montana,Flood,3747306.77
2018,Nebraska,Severe Storm(s),2738955.3099999996
2018,Nebraska,Snow,7487077.220000001
2018,New Hampshire,Coastal Storm,622436.09
2018,New Hampshire,Severe Storm(s),9504433.82
2018,New Hampshire,Snow,2722902.39
2018,New Jersey,Severe Storm(s),30875793.940000005
2018,New York,Flood,5856719.79
2018,North Carolina,Hurricane,522633453.9499999
2018,Northern Mariana Islands,Typhoon,176740213.13
2018,Ohio,Flood,53593901.910000004
2018,Oklahoma,Fire,5461446.17
2018,Pennsylvania,Severe Storm(s),55094471.37999999
2018,South Carolina,Hurricane,89678412.44
2018,Vermont,Severe Storm(s),8627816.040000001
2018,Virginia,Hurricane,49302467.830000006
2018,Washington,Flood,327171.11
2018,West Virginia,Mud/Landslide,42504583.15
2018,West Virginia,Severe Storm(s),2761381.93
2018,Wisconsin,Flood,25719086.22999999
2019,Alabama,Severe Storm(s),4698837.03
2019,Alabama,Tornado,3689283.38
2019,Alaska,Earthquake,23600561.99
2019,Arkansas,Flood,25442301.799999993
2019,California,Severe Storm(s),25410366.889999997
2019,Florida,Hurricane,1390503.17
2019,Guam,Typhoon,555333.0599999999
2019,Idaho,Flood,977001.2
2019,Illinois,Flood,8828759.36
2019,Iowa,Flood,34475018.92999999
2019,Kansas,Severe Storm(s),3768495.0400000014
2019,Kentucky,Severe Storm(s),66106498.739999995
2019,Louisiana,Flood,5596700.779999999
2019,Louisiana,Hurricane,14709698.73
2019,Louisiana,Severe Storm(s),4039780.21
2019,Minnesota,Flood,12087621.669999998
2019,Mississippi,Severe Storm(s),27806375.01
2019,Missouri,Flood,13135520.989999998
2019,Missouri,Severe Storm(s),13622092.99
2019,Montana,Flood,1098540.7
2019,Nebraska,Flood,43791327.69
2019,New Hampshire,Severe Storm(s),241023.7
2019,North Carolina,Hurricane,21813837.980000004
2019,North Dakota,Flood,5906809.199999999
2019,Ohio,Flood,9977230.390000002
2019,Ohio,Tornado,3214010.35
2019,Oklahoma,Severe Storm(s),14800575.569999998
2019,Oregon,Flood,614555.0700000001
2019,Oregon,Severe Storm(s),16051485.5
2019,South Carolina,Hurricane,6446792.909999999
2019,South Dakota,Flood,8186068.5600000005
2019,South Dakota,Severe Storm(s),863664.19
2019,Tennessee,Flood,8699755.62
2019,Tennessee,Severe Storm(s),795476.61
2019,Texas,Flood,46155531.220000006
2019,Vermont,Flood,941649.9800000001
2019,Washington,Severe Storm(s),8234994.05
2019,West Virginia,Flood,2699880.27
2019,Wisconsin,Flood,4568654.97
